"DateTime","Distinct Miners"
"2017-12-19 00:00:00",44
"2017-12-20 00:00:00",44
"2017-12-21 00:00:00",44
"2017-12-22 00:00:00",49
"2017-12-23 00:00:00",47
"2017-12-24 00:00:00",45
"2017-12-25 00:00:00",45
"2017-12-26 00:00:00",49
"2017-12-27 00:00:00",51
"2017-12-28 00:00:00",44
"2017-12-29 00:00:00",47
"2017-12-30 00:00:00",49
"2017-12-31 00:00:00",48
"2018-01-01 00:00:00",47
"2018-01-02 00:00:00",44
"2018-01-03 00:00:00",44
"2018-01-04 00:00:00",44
"2018-01-05 00:00:00",42
"2018-01-06 00:00:00",44
"2018-01-07 00:00:00",48
"2018-01-08 00:00:00",44
"2018-01-09 00:00:00",47
"2018-01-10 00:00:00",47
"2018-01-11 00:00:00",42
"2018-01-12 00:00:00",49
"2018-01-13 00:00:00",45
"2018-01-14 00:00:00",45
"2018-01-15 00:00:00",47
"2018-01-16 00:00:00",47
"2018-01-17 00:00:00",45
"2018-01-18 00:00:00",47
"2018-01-19 00:00:00",46
"2018-01-20 00:00:00",46
"2018-01-21 00:00:00",48
"2018-01-22 00:00:00",45
"2018-01-23 00:00:00",44
"2018-01-24 00:00:00",44
"2018-01-25 00:00:00",50
"2018-01-26 00:00:00",49
"2018-01-27 00:00:00",44
"2018-01-28 00:00:00",43
"2018-01-29 00:00:00",47
"2018-01-30 00:00:00",45
"2018-01-31 00:00:00",44
"2018-02-01 00:00:00",42
"2018-02-02 00:00:00",48
"2018-02-03 00:00:00",44
"2018-02-04 00:00:00",47
"2018-02-05 00:00:00",48
"2018-02-06 00:00:00",45
"2018-02-07 00:00:00",45
"2018-02-08 00:00:00",54
"2018-02-09 00:00:00",46
"2018-02-10 00:00:00",45
"2018-02-11 00:00:00",46
"2018-02-12 00:00:00",46
"2018-02-13 00:00:00",44
"2018-02-14 00:00:00",47
"2018-02-15 00:00:00",47
"2018-02-16 00:00:00",47
"2018-02-17 00:00:00",43
"2018-02-18 00:00:00",50
"2018-02-19 00:00:00",48
"2018-02-20 00:00:00",49
"2018-02-21 00:00:00",47
"2018-02-22 00:00:00",47
"2018-02-23 00:00:00",49
"2018-02-24 00:00:00",49
"2018-02-25 00:00:00",47
"2018-02-26 00:00:00",52
"2018-02-27 00:00:00",50
"2018-02-28 00:00:00",55
"2018-03-01 00:00:00",50
"2018-03-02 00:00:00",48
"2018-03-03 00:00:00",47
"2018-03-04 00:00:00",50
"2018-03-05 00:00:00",53
"2018-03-06 00:00:00",47
"2018-03-07 00:00:00",49
"2018-03-08 00:00:00",47
"2018-03-09 00:00:00",49
"2018-03-10 00:00:00",45
"2018-03-11 00:00:00",52
"2018-03-12 00:00:00",52
"2018-03-13 00:00:00",51
"2018-03-14 00:00:00",53
"2018-03-15 00:00:00",51
"2018-03-16 00:00:00",51
"2018-03-17 00:00:00",55
"2018-03-18 00:00:00",48
"2018-03-19 00:00:00",53
"2018-03-20 00:00:00",48
"2018-03-21 00:00:00",50
"2018-03-22 00:00:00",52
"2018-03-23 00:00:00",52
"2018-03-24 00:00:00",57
"2018-03-25 00:00:00",55
"2018-03-26 00:00:00",51
"2018-03-27 00:00:00",53
"2018-03-28 00:00:00",54
"2018-03-29 00:00:00",52
"2018-03-30 00:00:00",56
"2018-03-31 00:00:00",56
"2018-04-01 00:00:00",52
"2018-04-02 00:00:00",60
"2018-04-03 00:00:00",57
"2018-04-04 00:00:00",62
"2018-04-05 00:00:00",55
"2018-04-06 00:00:00",57
"2018-04-07 00:00:00",57
"2018-04-08 00:00:00",60
"2018-04-09 00:00:00",61
"2018-04-10 00:00:00",60
"2018-04-11 00:00:00",60
"2018-04-12 00:00:00",60
"2018-04-13 00:00:00",60
"2018-04-14 00:00:00",61
